id,handle,sku,comp4,comp5,comp6,name,description,product_category,variant_option_one_name,variant_option_one_value,opt2n,opt2v,opt3n,opt3v,tags,supply_price,retail_price,loyalty1,loyalty2,loyalty3,loyalty4,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Mississauga Outlet,inventory_Mississauga Outlet,reorder_point_Mississauga Outlet,restock_level_Mississauga Outlet
e24696eb-2a54-4a8b-a98e-ff46b4caa7d4,ENG65OAKOREGONOAK168,ENG-FAWK-0029,,,,"NAFENG - White Oak T&G (Oregon Oak) | 6.5"" x 18mm x RL - 19.74sf/b",,ENGINEERED HARDWOOD,,,,,,,,2.99,4.69,,,,,,FLOORS AT WORK,,1,,,,,
f8c3f291-d53d-4bca-8cf6-a0835b6cf484,ENG65OAKSURINAMEREGAL,ENG-FAWK-0038,,,,"NAFENG - Regal American White Oak (Suriname) T&G | 6.5"" x 18mm x RL - 20.24sf/b",,ENGINEERED HARDWOOD,,,,,,,,2.99,4.79,,,,,,FLOORS AT WORK,,1,,,,,
0eff8950-8fd0-42af-b0ac-02c8c3a6547d,ENG75OAKSTKITTSREGAL,ENG-FAWK-0047,,,,"NAFENG - Regal American White Oak (St. Kitts) T&G | 7.5"" x 18mm x RL - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,2.99,4.79,,,,,,FLOORS AT WORK,,1,,,,,
0cf786be-086e-4d14-8b8e-5861b6fcc97e,ENG75OAKLISBONREGAL,ENG-FAWK-0051,,,,"NAFENG - Regal American White Oak (Lisbon) T&G | 7.5"" x 18mm x RL - 23.44sf/b",,ENGINEERED HARDWOOD,,,,,,,,2.99,4.79,,,,,,FLOORS AT WORK,,1,,,,,
4561d200-a264-43e8-a56a-0b6ab73145be,ENG65OAKPUERTORICOREGAL,ENG-FAWK-0037,,,,"NAFENG - Regal American White Oak (Puerto Rico) T&G | 6.5"" x 18mm x RL - 20.24sf/b",,ENGINEERED HARDWOOD,,,,,,,,2.99,4.79,,,,,,FLOORS AT WORK,,1,,,,,
39665145-285c-423a-ac9c-e1f272491011,ENG75OAKCUBAREGAL,ENG-FAWK-0045,,,,"NAFENG - Regal American White Oak (Cuba) T&G | 7.5"" x 18mm x RL - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,2.99,4.79,,,,,,FLOORS AT WORK,,1,,,,,
67d0277d-2bf4-43ba-9be3-a91e478a495f,ENG75OAKHAITIREGAL,ENG-FAWK-0043,,,,"NAFENG - Regal American White Oak (Haiti) T&G | 7.5"" x 18mm x RL - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,2.99,4.79,,,,,,FLOORS AT WORK,,1,,,,,
3bf1b792-5c1f-46c9-a58a-f925f6b5eafc,ENG75OAKPICASSODES,ENG-FAWK-0055,,,,"NAFENG - Designer American White Oak (Picasso) T&G | 7.5"" x 18mm x RL - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.79,5.99,,,,,,FLOORS AT WORK,,1,,,,,
d21458e7-09d9-4241-bc81-04a0f6646082,ENG65MAPMYTH,ENG-FAWK-0083,,,,"NAFENG - Handscraped Maple (Myth) T&G | 6.5"" x 18mm x RL - 19.18sf/b",,ENGINEERED HARDWOOD,,,,,,,,2.99,4.99,,,,,,FLOORS AT WORK,,1,,,,,
0a6f6e36-8b89-11eb-f3d6-7e8b337ea751,ENG65MAPCAPRI,ENG-FAWK-0079,,,,"NAFENG - Handscraped Maple (Capri) T&G | 6.5"" x 18mm x RL - 19.18sf/b",,ENGINEERED HARDWOOD,,,,,,,,2.99,4.99,,,,,,FLOORS AT WORK,,1,,,,,
