id,handle,sku,c4,c5,c6,name,description,product_category,variant_option_one_name,variant_option_one_value,vo2n,vo2v,vo3n,vo3v,tags,supply_price,retail_price,loy1,loy2,loy3,loy4,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Titan Flooring,inv,reorder,restock
94b54ace-fe4a-4eb4-9c95-7406859b865d,impvin---essex-collection---55-mm-spc-viinyl-berry---4104-----7-x-60--15-eva---245sfb,4104,,,,"IMPVIN - ESSEX COLLECTION - 5.5 MM SPC VIINYL (BERRY)  | #4104 |  - 7"" x 60"" + 1.5 EVA - 24.5sf/b",Box size (sf): 24.5 | Boxes per skid: 50,VINYL,,,,,,,,1.28,2.28,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
6664e534-1f33-4cf2-b168-385db3570680,impvin---essex-collection---55-mm-spc-viinyl-eden---4105-----7-x-60--15-eva---245sfb,4105,,,,"IMPVIN - ESSEX COLLECTION - 5.5 MM SPC VIINYL (EDEN)  | #4105 |  - 7"" x 60"" + 1.5 EVA - 24.5sf/b",Box size (sf): 24.5 | Boxes per skid: 50,VINYL,,,,,,,,1.28,2.28,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
680f3abf-1249-4940-8331-5c204b9aa710,impvin---essex-collection---55-mm-spc-viinyl-delight---4106-----7-x-60--15-eva---245sfb,4106,,,,"IMPVIN - ESSEX COLLECTION - 5.5 MM SPC VIINYL (DELIGHT)  | #4106 |  - 7"" x 60"" + 1.5 EVA - 24.5sf/b",Box size (sf): 24.5 | Boxes per skid: 50,VINYL,,,,,,,,1.28,2.28,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
874f6b58-3268-4494-98cb-5419e075742a,impvin---essex-collection---55-mm-spc-viinyl-seawater---4107-----7-x-60--15-eva---245sfb,4107,,,,"IMPVIN - ESSEX COLLECTION - 5.5 MM SPC VIINYL (SEAWATER)  | #4107 |  - 7"" x 60"" + 1.5 EVA - 24.5sf/b",Box size (sf): 24.5 | Boxes per skid: 50,VINYL,,,,,,,,1.28,2.28,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
8f435f82-6065-4604-b5aa-ed485bcaa194,impvin---eterna-collection---65-mm-spc-viinyl-grape---4200-----7-x-60--15-ixpe---245sfb,4200,,,,"IMPVIN - ETERNA COLLECTION - 6.5 MM SPC VIINYL (GRAPE)  | #4200 |  - 7"" x 60"" + 1.5 IXPE - 24.5sf/b",Box size (sf): 24.5 | Boxes per skid: 50,VINYL,,,,,,,,1.43,2.43,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
86aaab9b-183b-4d5d-bb5b-9e5f1926c774,impvin---eterna-collection---65-mm-spc-viinyl-flower---4201-----7-x-60--15-ixpe---245sfb,4201,,,,"IMPVIN - ETERNA COLLECTION - 6.5 MM SPC VIINYL (FLOWER)  | #4201 |  - 7"" x 60"" + 1.5 IXPE - 24.5sf/b",Box size (sf): 24.5 | Boxes per skid: 50,VINYL,,,,,,,,1.43,2.43,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
767c439a-d579-4c03-a646-d15b825f038d,impvin---eterna-collection---65-mm-spc-viinyl-ocean---4202-----7-x-60--15-ixpe---245sfb,4202,,,,"IMPVIN - ETERNA COLLECTION - 6.5 MM SPC VIINYL (OCEAN)  | #4202 |  - 7"" x 60"" + 1.5 IXPE - 24.5sf/b",Box size (sf): 24.5 | Boxes per skid: 50,VINYL,,,,,,,,1.43,2.43,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
d3b05d6d-8c29-439d-9d7a-ba9449d340ed,impvin---eterna-collection---65-mm-spc-viinyl-iris---4203-----7-x-60--15-ixpe---245sfb,4203,,,,"IMPVIN - ETERNA COLLECTION - 6.5 MM SPC VIINYL (IRIS)  | #4203 |  - 7"" x 60"" + 1.5 IXPE - 24.5sf/b",Box size (sf): 24.5 | Boxes per skid: 50,VINYL,,,,,,,,1.43,2.43,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
b7eba65a-3807-4dff-a497-35883dce7bf0,impvin---eterna-collection---65-mm-spc-viinyl-pine---4204-----7-x-60--15-ixpe---245sfb,4204,,,,"IMPVIN - ETERNA COLLECTION - 6.5 MM SPC VIINYL (PINE)  | #4204 |  - 7"" x 60"" + 1.5 IXPE - 24.5sf/b",Box size (sf): 24.5 | Boxes per skid: 50,VINYL,,,,,,,,1.43,2.43,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
baa70dff-0426-4186-a9b5-087214c089c2,impvin---eterna-collection---65-mm-spc-viinyl-navy---4205-----7-x-60--15-ixpe---245sfb,4205,,,,"IMPVIN - ETERNA COLLECTION - 6.5 MM SPC VIINYL (NAVY)  | #4205 |  - 7"" x 60"" + 1.5 IXPE - 24.5sf/b",Box size (sf): 24.5 | Boxes per skid: 50,VINYL,,,,,,,,1.43,2.43,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
10d053f0-85fe-4db3-bc59-8d461900ed50,impvin---eterna-collection---65-mm-spc-viinyl-cupid---4206-----7-x-60--15-ixpe---245sfb,4206,,,,"IMPVIN - ETERNA COLLECTION - 6.5 MM SPC VIINYL (CUPID)  | #4206 |  - 7"" x 60"" + 1.5 IXPE - 24.5sf/b",Box size (sf): 24.5 | Boxes per skid: 50,VINYL,,,,,,,,1.43,2.43,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
